vehiculo,anio,estado,promedio_calificacion,n_resenas
Acura TLX V6 Advance,2016,Usado,4.34,585
BMW 550 i,2015,Usado,4.34,339
BMW X5 sDrive35i,2016,Usado,4.34,576
Chevrolet Styleline Deluxe,1949,Usado,4.34,600
Ford Mustang GT Premium,2022,Nuevo,4.34,447
Ford Ranger XLT,2023,Nuevo,4.34,161
Hyundai Palisade Calligraphy,2023,Nuevo,4.34,767
INFINITI QX80 Base,2014,Usado,4.34,600
INFINITI Q50 3.0t LUXE,2020,Usado,4.34,211
INFINITI QX80 Limited,2020,Usado,4.34,574
Lexus GX 460 Base,2018,Usado,4.34,26
Lexus IS 350 F Sport,2023,Nuevo,4.34,690
Mercedes-Benz C-Class C 300 4MATIC,2023,Nuevo,4.34,119
Porsche 911 Carrera 4S,2018,Usado,4.34,116
Porsche Cayenne Base,2021,Usado,4.34,22
Porsche Panamera 2,2012,Usado,4.34,679
Porsche Macan S,2016,Usado,4.34,552
Tesla Model X Long Range,2019,Usado,4.34,712
Acura RDX Technology Package,2019,Usado,4.33,498
Acura TLX A-Spec,2023,Nuevo,4.33,342
BMW 440 i,2020,Usado,4.33,270
Chevrolet Colorado ZR2,2022,Nuevo,4.33,292
Chevrolet Camaro ZL1,2023,Nuevo,4.33,513
Chevrolet Malibu LT,2018,Usado,4.33,771
Dodge Durango GT,2021,Dodge Certified,4.33,673
Dodge Journey Crossroad,2017,Usado,4.33,341
Ford Bronco Badlands,2023,Nuevo,4.33,567
Ford F-150 King Ranch,2022,Nuevo,4.33,203
Hyundai Tucson Night,2019,Usado,4.33,403
INFINITI QX80 Base,2017,Usado,4.33,83
Lexus GX 460 GX 460 Premium,2020,Usado,4.33,764
Mercedes-Benz E-Class E 450,2022,Nuevo,4.33,361
Tesla Model X Long Range,2019,Usado,4.33,420
Acura TLX A-Spec,2023,Nuevo,4.32,525
BMW X7 M50i,2021,Usado,4.32,73
BMW 228 Gran Coupe i xDrive,2020,Usado,4.32,516
Chevrolet Malibu LT,2022,Nuevo,4.32,799
Chevrolet Traverse Premier,2019,Usado,4.32,231
Ford Bronco Badlands,2022,Nuevo,4.32,569
Hyundai Sonata Hybrid Base,2014,Usado,4.32,42
INFINITI QX60 Luxe,2020,INFINITI Certified,4.32,793
INFINITI QX55 LUXE,2023,Nuevo,4.32,119
INFINITI QX70 Base,2014,Usado,4.32,709
Lexus RX 350 Premium,2023,Nuevo,4.32,354
Lexus RX 350 Base,2010,Usado,4.32,629
Lexus RX 350 Base,2020,Usado,4.32,84
Mercedes-Benz E-Class E 350 4MATIC,2023,Nuevo,4.32,484
Porsche Panamera 4S,2017,Porsche Certified,4.32,193
Porsche Cayenne Turbo,2023,Usado,4.32,314
Acura TSX 2.4,2012,Usado,4.31,493
Acura RDX A-Spec,2019,Usado,4.31,395
Acura RDX A-Spec,2020,Usado,4.31,148
BMW M4 Base,2020,BMW Certified,4.31,368
BMW 320 i,2018,Usado,4.31,267
Chevrolet Equinox 1LT,2021,Nuevo,4.31,621
Dodge Challenger SRT 392,2015,Usado,4.31,698
Ford F-350 XL,2022,Nuevo,4.31,703
Hyundai Santa Fe SEL,2021,Usado,4.31,13
Hyundai Elantra SEL,2021,Usado,4.31,137
Hyundai Sonata SE,2019,Usado,4.31,686
INFINITI JX35 Base,2013,Usado,4.31,782
INFINITI FX35 Base,2012,Usado,4.31,603
Lexus IS 250C Base (A6),2010,Usado,4.31,271
Mercedes-Benz GLE 350 Base 4MATIC,2023,Nuevo,4.31,307
Mercedes-Benz Sprinter 2500 Standard Roof,2022,Nuevo,4.31,382
Porsche 911 Carrera S,2017,Porsche Certified,4.31,237
Porsche 911 Targa 4S,2015,Usado,4.31,723
Tesla Model 3 Standard Range Plus,2019,Usado,4.31,127
Acura TLX V6,2019,Usado,4.3,146
Acura ILX ,2020,Acura Certified,4.3,103
BMW 330 i xDrive,2023,Nuevo,4.3,299
Chevrolet Colorado LT,2022,Nuevo,4.3,698
Dodge Durango R/T,2022,Usado,4.3,563
Dodge Charger R/T,2018,Usado,4.3,496
Ford F-150 XLT,2021,Nuevo,4.3,266
Hyundai Santa Fe SEL,2023,Nuevo,4.3,217
Hyundai Sonata Sport+,2018,Usado,4.3,753
INFINITI QX50 ESSENTIAL,2019,Usado,4.3,610
INFINITI QX80 SENSORY,2023,Nuevo,4.3,502
INFINITI Q50 3.0t Red Sport 400,2021,Usado,4.3,777
Lexus NX 300h F SPORT Black Line,2021,Usado,4.3,191
Lexus RC 300 F Sport,2021,Usado,4.3,282
Lexus NX 200t Base,2017,Usado,4.3,321
Lexus IS 250 ,2008,Usado,4.3,607
Mercedes-Benz S-Class S 500 4MATIC,2023,Nuevo,4.3,94
Porsche 911 Carrera S,2019,Usado,4.3,731
Tesla Model 3 Performance,2021,Usado,4.3,375
Acura MDX A-Spec,2023,Acura Certified,4.29,145
Acura MDX 3.5L,2019,Usado,4.29,160
Acura RDX Technology Package,2022,Nuevo,4.29,352
BMW X3 xDrive30i,2023,Nuevo,4.29,569
BMW 750 i xDrive,2018,Usado,4.29,361
Chevrolet Silverado 1500 Limited RST,2022,Nuevo,4.29,495
Dodge Ram 2500 SLT,2011,Usado,4.29,747
Dodge Ram 3500 Quad Cab DRW,2003,Usado,4.29,284
Dodge Durango GT,2019,Usado,4.29,670
Ford Mustang Mach 1,2022,Nuevo,4.29,698
Hyundai Palisade SEL,2023,Nuevo,4.29,604
Hyundai Elantra SE,2017,Usado,4.29,765
INFINITI QX60 LUXE AWD,2019,Usado,4.29,730
Mercedes-Benz Sprinter 2500 High Roof,2023,Nuevo,4.29,148
Mercedes-Benz GLC 300 Base,2022,Nuevo,4.29,62
Porsche Cayenne S,2013,Usado,4.29,172
Porsche 911 Carrera S,2013,Usado,4.29,106
Porsche Taycan Turbo,2020,Porsche Certified,4.29,661
Tesla Model 3 Standard Range Plus,2020,Usado,4.29,8
Acura MDX Technology,2023,Nuevo,4.28,501
Acura RDX Advance Package,2022,Usado,4.28,64
BMW M2 Competition,2020,Usado,4.28,727
BMW 530 i xDrive,2018,Usado,4.28,77
BMW 330e iPerformance,2017,Usado,4.28,730
Dodge Durango Citadel,2022,Nuevo,4.28,658
Dodge Durango Citadel,2015,Usado,4.28,514
Dodge Challenger SXT,2021,Usado,4.28,315
Hyundai Accent SEL,2022,Nuevo,4.28,419
Hyundai Palisade Limited,2021,Usado,4.28,596
INFINITI G37x Base,2013,Usado,4.28,446
Lexus GX 460 Premium,2012,Usado,4.28,104
Lexus NX 300 Base,2019,Usado,4.28,487
Lexus CT 200h Base,2015,Usado,4.28,212
Mercedes-Benz C-Class C 300 4MATIC,2023,Nuevo,4.28,353
Porsche Cayenne Base,2020,Usado,4.28,50
Porsche Taycan 4S,2022,Porsche Certified,4.28,572
Porsche Macan Base,2021,Porsche Certified,4.28,241
Tesla Model S P85D,2015,Usado,4.28,310
Tesla Model 3 Standard,2019,Usado,4.28,6
Acura MDX 3.5L,2017,Usado,4.27,799
BMW 440 Gran Coupe i xDrive,2018,Usado,4.27,169
BMW 330 i xDrive,2019,BMW Certified,4.27,340
Chevrolet Colorado WT,2022,Nuevo,4.27,75
Chevrolet Silverado 1500 LT Trail Boss,2023,Nuevo,4.27,302
Dodge Ram Van 3500,2001,Usado,4.27,377
Dodge Charger R/T,2017,Usado,4.27,317
INFINITI QX60 AUTOGRAPH,2023,Nuevo,4.27,301
Lexus GX 460 Base,2022,Usado,4.27,440
Mercedes-Benz GLC 300 Base 4MATIC,2022,Nuevo,4.27,21
Porsche Taycan 4S,2020,Usado,4.27,741
Porsche Macan S,2017,Usado,4.27,465
Porsche 356 A,1957,Usado,4.27,696
Acura MDX 3.5L,2017,Usado,4.26,194
BMW M340 i,2020,Usado,4.26,21
BMW 330e xDrive,2023,Nuevo,4.26,515
BMW 440 i,2020,Usado,4.26,504
Chevrolet Silverado 1500 Custom,2022,Nuevo,4.26,597
Dodge Charger Police,2014,Usado,4.26,507
Dodge Durango SRT Hellcat,2021,Usado,4.26,652
Dodge Ram 3500 Laramie,2007,Usado,4.26,557
Hyundai Elantra GT Sport,2018,Usado,4.26,376
Hyundai Santa Fe GLS,2010,Usado,4.26,697
Hyundai Santa Fe SEL,2023,Nuevo,4.26,369
Hyundai Sonata SE,2019,Usado,4.26,440
INFINITI G35 Journey,2008,Usado,4.26,369
INFINITI QX80 Luxe,2022,Usado,4.26,63
INFINITI Q60 3.0t Red Sport 400,2022,Nuevo,4.26,346
Lexus LS 500 Base,2022,Nuevo,4.26,553
Lexus RX 350h Premium,2023,Nuevo,4.26,274
Lexus ES 350 ,2007,Usado,4.26,295
Porsche 911 Carrera 4 Cabriolet,2001,Usado,4.26,762
Tesla Model S 75,2016,Usado,4.26,260
Tesla Model 3 Standard Range Plus,2019,Usado,4.26,715
Acura TSX 2.4,2014,Usado,4.25,526
Acura TLX FWD,2015,Usado,4.25,786
Acura MDX 3.5L w/Advance Package,2020,Usado,4.25,773
Acura MDX 3.5L w/Technology Package,2020,Acura Certified,4.25,672
BMW 330 i xDrive,2020,Usado,4.25,423
BMW 330 i,2020,Usado,4.25,195
Chevrolet Silverado 2500 Custom,2022,Nuevo,4.25,273
Chevrolet Suburban Z71,2023,Nuevo,4.25,381
Dodge Ram 2500 SLT,2006,Usado,4.25,313
Ford Mustang Mach-E Premium,2023,Nuevo,4.25,377
Hyundai Elantra HEV Limited,2023,Nuevo,4.25,639
INFINITI Q60 3.0t Red Sport 400,2019,INFINITI Certified,4.25,482
INFINITI QX80 PREMIUM SELECT,2021,Usado,4.25,504
Lexus GX 460 Base,2023,Nuevo,4.25,139
Lexus RX 350 F Sport,2016,Usado,4.25,170
Mercedes-Benz EQS 450 Base 4MATIC,2023,Nuevo,4.25,398
Mercedes-Benz AMG GLE 53 Base,2023,Nuevo,4.25,736
Porsche Macan S,2022,Porsche Certified,4.25,722
Porsche Macan ,2018,Usado,4.25,668
Porsche Macan Base,2020,Usado,4.25,271
Tesla Model 3 Mid Range,2018,Usado,4.25,540
Acura TLX A-Spec,2022,Nuevo,4.24,48
BMW M3 Base,2015,Usado,4.24,268
Chevrolet Trailblazer ACTIV,2023,Nuevo,4.24,119
Chevrolet Traverse Premier,2023,Nuevo,4.24,36
Chevrolet Suburban 1500 LTZ,2015,Usado,4.24,767
Chevrolet Express 1500 Upfitter Cargo,2014,Usado,4.24,447
Chevrolet Tahoe Z71,2021,Usado,4.24,16
Dodge Durango Limited,2014,Usado,4.24,65
Ford Explorer XLT,2022,Nuevo,4.24,82
Hyundai Kona SEL,2023,Nuevo,4.24,374
Hyundai Elantra GT Base,2013,Usado,4.24,278
Hyundai IONIQ Hybrid SEL,2020,Usado,4.24,283
INFINITI Q60 3.0t Red Sport 400,2021,Usado,4.24,375
INFINITI QX60 SENSORY,2023,Nuevo,4.24,648
INFINITI QX30 Premium,2018,Usado,4.24,138
Lexus GX 460 460,2010,Usado,4.24,617
Lexus ES 350 ,2015,Usado,4.24,769
Mercedes-Benz EQS 450 Base 4MATIC,2023,Nuevo,4.24,521
Mercedes-Benz GLB 250 Base 4MATIC,2022,Nuevo,4.24,106
Porsche 911 GT3,2016,Usado,4.24,641
Porsche Macan S,2020,Porsche Certified,4.24,524
Porsche Macan Base,2021,Usado,4.24,600
Porsche Macan S,2020,Usado,4.24,493
Porsche Macan S,2020,Usado,4.24,114
Tesla Model Y Long Range,2021,Usado,4.24,467
Tesla Model 3 Long Range,2019,Usado,4.24,666
Acura RLX FWD w/Technology Package,2020,Acura Certified,4.23,195
Acura ILX Base,2017,Usado,4.23,176
Acura TLX V6 w/Technology Package,2019,Usado,4.23,439
Acura MDX w/Advance Package,2023,Nuevo,4.23,28
Acura RDX Technology Package,2015,Usado,4.23,270
BMW i4 Gran Coupe eDrive40,2023,Nuevo,4.23,187
Chevrolet Traverse LT Cloth,2023,Nuevo,4.23,31
Dodge Durango R/T,2019,Dodge Certified,4.23,255
Hyundai Santa Cruz 2.5T Limited,2023,Nuevo,4.23,282
Hyundai Palisade Limited,2023,Nuevo,4.23,697
INFINITI QX80 Base,2017,Usado,4.23,405
Lexus GX 460 Base,2023,Nuevo,4.23,391
Lexus RC 300 Base,2016,Usado,4.23,263
Mercedes-Benz G-Class G 550 4MATIC,2023,Nuevo,4.23,500
Mercedes-Benz E-Class E 450,2023,Nuevo,4.23,613
Mercedes-Benz GLS 450 4MATIC,2023,Nuevo,4.23,7
Porsche Cayenne S,2021,Usado,4.23,632
Porsche Cayman Base,2015,Usado,4.23,721
Tesla Model S Base,2013,Usado,4.23,317
Acura MDX 3.5L w/Technology Package,2020,Acura Certified,4.22,86
Acura MDX 3.5L w/Technology & Entertainment Pkgs,2017,Usado,4.22,579
BMW M340 i,2023,Nuevo,4.22,177
Chevrolet Malibu 1LS,2023,Nuevo,4.22,419
Chevrolet Van BASE,1993,Usado,4.22,698
Chevrolet Suburban Premier,2017,Usado,4.22,589
Dodge Journey Crossroad,2015,Usado,4.22,348
Dodge Charger SXT,2015,Usado,4.22,620
Dodge Challenger R/T Scat Pack,2016,Usado,4.22,378
Dodge Charger Daytona,2018,Usado,4.22,666
Ford F-150 XLT,2023,Nuevo,4.22,593
Ford Shelby GT500 Base,2022,Nuevo,4.22,485
Hyundai Kona SEL,2018,Usado,4.22,650
Hyundai Elantra N Base,2023,Nuevo,4.22,738
Hyundai Santa Fe SEL,2021,Usado,4.22,282
INFINITI QX80 Luxe,2023,Nuevo,4.22,251
INFINITI QX60 Base,2018,Usado,4.22,375
INFINITI QX60 SENSORY,2023,Nuevo,4.22,89
Lexus RX 350 F Sport,2015,Usado,4.22,358
Lexus NX 200t Base,2016,Usado,4.22,41
Mercedes-Benz Sprinter 2500 High Roof,2023,Nuevo,4.22,404
Tesla Model 3 LONG RANGE/AWD/AUTO PILOT/ACCELERATION BOOST/FRONT,2019,Usado,4.22,511
Acura MDX A-Spec,2022,Acura Certified,4.21,244
BMW X5 xDrive40i,2023,Nuevo,4.21,241
BMW 740 i,2020,BMW Certified,4.21,768
BMW M5 Competition,2020,Usado,4.21,134
Chevrolet Silverado 2500 Work Truck,2014,Usado,4.21,718
Chevrolet Tahoe Premier,2023,Nuevo,4.21,410
Chevrolet Colorado LT,2022,Nuevo,4.21,142
Chevrolet Silverado 3500 LT,2022,Usado,4.21,624
Dodge Ram 1500 SLT Quad Cab,2008,Usado,4.21,78
Dodge Charger GT,2021,Usado,4.21,706
Dodge Durango R/T,2021,Usado,4.21,409
Dodge Challenger SRT Hellcat,2022,Nuevo,4.21,457
Dodge Charger R/T,2015,Usado,4.21,508
Ford F-150 XLT,2022,Nuevo,4.21,665
Hyundai IONIQ 5 SEL,2023,Nuevo,4.21,411
INFINITI QX60 SENSORY,2023,Nuevo,4.21,493
INFINITI QX80 LUXE,2020,Usado,4.21,339
Lexus GS 350 Base,2015,Usado,4.21,353
Tesla Model 3 Long Range,2018,Usado,4.21,487
Tesla Model S 100D,2018,Usado,4.21,685
Tesla Model 3 Performance,2019,Usado,4.21,787
Acura Integra w/A-Spec Tech Package,2023,Nuevo,4.2,657
Acura MDX Technology,2023,Nuevo,4.2,100
Acura MDX Technology,2023,Nuevo,4.2,278
BMW 430 Gran Coupe i,2023,Nuevo,4.2,294
Chevrolet Suburban Premier,2023,Nuevo,4.2,626
Chevrolet Colorado WT,2022,Nuevo,4.2,715
Chevrolet Camaro 2LS,2015,Usado,4.2,788
Chevrolet Tahoe Z71,2023,Nuevo,4.2,758
Hyundai Tucson Value,2018,Usado,4.2,221
INFINITI QX80 Luxe,2022,Usado,4.2,5
Lexus NX 350h Luxury,2023,Nuevo,4.2,685
Mercedes-Benz GLS 450 4MATIC,2023,Nuevo,4.2,7
Mercedes-Benz Sprinter 2500 High Roof,2023,Nuevo,4.2,529
Mercedes-Benz GLE 350 Base 4MATIC,2023,Nuevo,4.2,643
Mercedes-Benz EQE 350 Base 4MATIC,2023,Nuevo,4.2,788
Mercedes-Benz GLC 300 Base,2022,Nuevo,4.2,105
Mercedes-Benz AMG GLA 45 Base,2023,Nuevo,4.2,563
Porsche Cayenne S Coupe AWD,2020,Usado,4.2,343
Tesla Model S Long Range,2020,Usado,4.2,680
Tesla Model 3 Mid Range,2019,Usado,4.2,245
Acura RDX Technology Package,2019,Usado,4.19,749
Acura TL Technology,2010,Usado,4.19,174
Acura MDX Advance,2023,Nuevo,4.19,365
BMW X3 M40i,2023,Nuevo,4.19,547
BMW M5 ,2008,Usado,4.19,7
BMW 530 i xDrive,2021,Usado,4.19,483
BMW 740 Li,2014,Usado,4.19,241
BMW 740 i,2020,Usado,4.19,203
Chevrolet Trailblazer ACTIV,2023,Nuevo,4.19,687
Chevrolet Traverse Premier,2023,Nuevo,4.19,171
Chevrolet Camaro SS,2023,Nuevo,4.19,538
Chevrolet Tahoe LS,2023,Nuevo,4.19,750
Chevrolet Trailblazer LT,2023,Nuevo,4.19,87
Dodge Durango Citadel,2019,Usado,4.19,281
Ford Bronco Wildtrak,2023,Nuevo,4.19,244
Mercedes-Benz E-Class E 450,2023,Nuevo,4.19,793
Porsche Macan Base,2018,Usado,4.19,384
Tesla Model S Long Range,2021,Usado,4.19,368
Tesla Model X P90D,2016,Usado,4.19,716
Acura ILX Premium Package,2016,Usado,4.18,785
Acura RDX A-Spec Advance Package,2023,Nuevo,4.18,115
Acura Integra A-Spec,2023,Nuevo,4.18,315
BMW M340 i,2023,Nuevo,4.18,297
Chevrolet Suburban LT,2023,Nuevo,4.18,462
Dodge Caliber SXT,2010,Usado,4.18,316
Hyundai Sonata GLS,2013,Usado,4.18,697
Lexus ES 300h ,2022,Nuevo,4.18,8
Lexus SC 430 ,2002,Usado,4.18,593
Mercedes-Benz Sprinter 2500 144 WB Standard Roof Crew,2023,Nuevo,4.18,218
Mercedes-Benz Sprinter 3500XD High Roof,2022,Nuevo,4.18,100
Mercedes-Benz EQS 580 Base 4MATIC,2022,Nuevo,4.18,56
Tesla Model 3 Long Range,2018,Usado,4.18,187
Tesla Model 3 Performance,2018,Usado,4.18,782
Tesla Model 3 Long Range,2019,Usado,4.18,655
BMW M3 Competition,2023,Nuevo,4.17,793
BMW M2 Competition,2020,Usado,4.17,529
BMW 640 i xDrive,2014,Usado,4.17,444
BMW 230 i xDrive,2023,Nuevo,4.17,588
BMW X6 xDrive40i,2023,Nuevo,4.17,698
BMW M8 Competition,2022,Usado,4.17,335
BMW i8 Base,2019,Usado,4.17,149
BMW X5 xDrive35i,2016,Usado,4.17,605
BMW 330 i,2020,Usado,4.17,620
Chevrolet Colorado WT,2022,Nuevo,4.17,64
Chevrolet Silverado 1500 LTZ,2023,Nuevo,4.17,367
Dodge Charger R/T 392,2018,Usado,4.17,26
Dodge Challenger SXT,2017,Usado,4.17,744
Hyundai Palisade Limited,2023,Nuevo,4.17,93
Hyundai Elantra SEL,2023,Nuevo,4.17,88
Hyundai Palisade SE,2022,Usado,4.17,453
INFINITI Q60 3.0t Red Sport 400,2018,INFINITI Certified,4.17,580
INFINITI QX50 SENSORY,2023,Nuevo,4.17,196
Mercedes-Benz E-Class E 450,2023,Nuevo,4.17,789
Porsche Cayenne Turbo,2012,Usado,4.17,648
Tesla Model Y Long Range,2020,Usado,4.17,260
Acura TLX A-Spec,2023,Nuevo,4.16,66
Acura Integra w/A-Spec Package,2023,Nuevo,4.16,195
BMW 530e iPerformance,2019,Usado,4.16,728
Chevrolet Silverado 1500 WT,2023,Nuevo,4.16,592
Dodge Durango GT,2018,Dodge Certified,4.16,413
Hyundai Santa Cruz 2.5T SEL Premium,2023,Nuevo,4.16,371
Lexus LS 500 LS 500,2022,Nuevo,4.16,674
Lexus RC 350 F Sport,2022,Usado,4.16,696
Lexus IS 350 F Sport,2022,Usado,4.16,481
Mercedes-Benz GLC 300 Base,2022,Nuevo,4.16,449
Porsche 911 991 Carrera S,2012,Usado,4.16,340
Porsche 911 Carrera S,2020,Usado,4.16,573
Acura RDX Base,2015,Usado,4.15,578
BMW X7 xDrive40i,2022,Usado,4.15,456
BMW X2 xDrive28i,2019,BMW Certified,4.15,624
Chevrolet Silverado 1500 LT Trail Boss,2022,Nuevo,4.15,382
Chevrolet Bolt EUV LT,2023,Nuevo,4.15,526
Chevrolet Malibu LT,2022,Usado,4.15,421
Chevrolet Camaro SS,2023,Nuevo,4.15,45
Chevrolet Tahoe LT,2021,Usado,4.15,229
Dodge Journey Crew,2013,Usado,4.15,218
Dodge Avenger SXT,2009,Usado,4.15,375
Dodge Durango R/T,2022,Usado,4.15,622
Ford F-150 Raptor,2023,Nuevo,4.15,682
Ford Mustang GT,2022,Nuevo,4.15,280
Hyundai Elantra HEV Limited,2023,Nuevo,4.15,49
Hyundai Sonata SEL,2020,Usado,4.15,230
INFINITI G37 Journey,2008,Usado,4.15,454
INFINITI QX60 Base,2014,Usado,4.15,737
INFINITI QX80 Luxe,2021,Usado,4.15,27
Lexus IS 350 F Sport,2023,Nuevo,4.15,581
Lexus RX 450h F Sport Performance,2020,Usado,4.15,402
Lexus GS 350 ,2015,Usado,4.15,372
Lexus RC 300 300,2019,Usado,4.15,791
Mercedes-Benz GLC 300 Base,2021,Nuevo,4.15,506
Mercedes-Benz E-Class E 350 4MATIC,2023,Nuevo,4.15,53
Porsche Macan S,2018,Usado,4.15,322
Porsche Panamera 4,2020,Usado,4.15,459
Porsche 911 Carrera GTS,2016,Usado,4.15,626
Porsche Boxster Base (M5),2000,Usado,4.15,246
Tesla Model 3 ,2018,Usado,4.15,749
Tesla Model 3 Long Range,2018,Usado,4.15,395
Tesla Model 3 Standard Range Plus,2021,Usado,4.15,89
Acura RDX A-Spec,2023,Nuevo,4.14,459
BMW M4 Competition xDrive,2023,Nuevo,4.14,388
BMW 840 i xDrive,2022,Usado,4.14,26
BMW X4 M AWD,2020,Usado,4.14,73
Chevrolet Silverado 1500 RST,2023,Nuevo,4.14,37
Dodge Charger SXT,2022,Usado,4.14,303
Dodge Charger SXT,2018,Usado,4.14,136
Ford F-150 Tremor,2022,Nuevo,4.14,534
Ford Bronco Badlands,2023,Nuevo,4.14,65
INFINITI QX80 Luxe,2021,Usado,4.14,194
Lexus LS 500 ,2023,Nuevo,4.14,318
Lexus RX 350 350,2016,Usado,4.14,68
Lexus ES 350 Base,2016,Usado,4.14,394
Porsche 911 Turbo 3.6,1997,Usado,4.14,181
Tesla Model X Base,2023,Usado,4.14,751
Tesla Model 3 Long Range,2022,Usado,4.14,184
Tesla Model 3 Standard Range Plus,2021,Usado,4.14,612
Acura ILX 2.0L Technology,2014,Usado,4.13,177
Acura RDX A-Spec,2023,Nuevo,4.13,692
BMW M440 i xDrive,2023,Nuevo,4.13,549
BMW 760 760i xDrive,2023,Nuevo,4.13,365
BMW X6 xDrive40i,2023,Nuevo,4.13,508
BMW M850 Gran Coupe i xDrive,2020,Usado,4.13,88
Chevrolet Silverado 1500 Custom,2022,Nuevo,4.13,703
Chevrolet Silverado 1500 LTZ,2022,Nuevo,4.13,355
Chevrolet Camaro 2LT,2023,Nuevo,4.13,203
Dodge Charger SXT,2022,Nuevo,4.13,651
Ford F-150 XL,2022,Nuevo,4.13,170
Ford Expedition Timberline,2023,Nuevo,4.13,479
Hyundai Elantra SEL,2023,Nuevo,4.13,84
INFINITI QX80 Base,2017,Usado,4.13,773
INFINITI QX50 SENSORY,2023,Nuevo,4.13,516
INFINITI QX60 AUTOGRAPH,2023,Nuevo,4.13,168
INFINITI JX35 Base,2013,Usado,4.13,474
Lexus GS 350 Base,2011,Usado,4.13,464
Lexus RX 350 350,2017,Usado,4.13,220
Lexus LS 500 Base,2020,Usado,4.13,114
Mercedes-Benz S-Class S 500 4MATIC,2023,Nuevo,4.13,209
Mercedes-Benz AMG GLE 53 Base,2023,Nuevo,4.13,584
Tesla Model X Performance,2021,Usado,4.13,763
Tesla Model X 75D,2018,Usado,4.13,260
Tesla Model S ,2014,Usado,4.13,280
Tesla Model 3 Standard,2020,Usado,4.13,127
Acura MDX 3.5L w/Technology Package,2017,Usado,4.12,86
Acura TLX A-Spec,2023,Nuevo,4.12,592
Acura TL ,2006,Usado,4.12,93
Acura TLX Technology,2023,Nuevo,4.12,533
Dodge Charger Scat Pack,2022,Nuevo,4.12,135
Dodge Charger GT,2023,Nuevo,4.12,369
Ford F-150 Lightning Platinum,2023,Nuevo,4.12,629
Ford Explorer ST,2023,Nuevo,4.12,614
Ford F-150 Lariat,2023,Nuevo,4.12,720
Hyundai Tucson SEL,2020,Usado,4.12,148
Lexus LS 460 Base,2011,Usado,4.12,682
Lexus NX 300 ,2019,Usado,4.12,178
Mercedes-Benz EQS 450 Base 4MATIC,2023,Nuevo,4.12,162
Mercedes-Benz Sprinter 3500XD High Roof,2022,Nuevo,4.12,132
Tesla Model 3 Long Range,2021,Usado,4.12,262
Tesla Model 3 Standard Range Plus,2020,Usado,4.12,776
BMW 750 i xDrive,2022,Usado,4.11,312
BMW 428 Gran Coupe i,2015,Usado,4.11,545
BMW M5 Competition,2020,Usado,4.11,491
Chevrolet Tahoe LT,2023,Nuevo,4.11,544
Chevrolet Silverado 2500 LT,2023,Nuevo,4.11,444
Dodge Charger R/T,2022,Nuevo,4.11,179
Dodge Durango GT,2022,Nuevo,4.11,278
Dodge Charger SXT,2019,Usado,4.11,723
Dodge Durango GT,2021,Usado,4.11,319
Dodge Charger SE,2014,Usado,4.11,764
Ford F-150 Tremor,2022,Nuevo,4.11,499
Ford F-350 XL,2022,Nuevo,4.11,51
Hyundai Santa Fe HEV SEL Premium,2023,Nuevo,4.11,470
INFINITI QX80 PREMIUM SELECT,2022,INFINITI Certified,4.11,464
INFINITI QX80 Luxe,2019,INFINITI Certified,4.11,123
INFINITI QX50 Base,2017,Usado,4.11,99
INFINITI QX50 LUXE,2020,Usado,4.11,146
Lexus IS 350 F Sport,2023,Nuevo,4.11,186
Mercedes-Benz E-Class E 450,2023,Nuevo,4.11,110
Mercedes-Benz S-Class S 500 4MATIC,2023,Nuevo,4.11,338
Porsche 911 SC,1980,Usado,4.11,508
Tesla Model Y Long Range,2022,Usado,4.11,407
Acura TLX A-Spec,2020,Usado,4.1,471
Acura TSX ,2009,Usado,4.1,754
BMW X6 xDrive40i,2023,Nuevo,4.1,100
BMW M5 ,2019,BMW Certified,4.1,616
BMW 335 i,2011,Usado,4.1,517
Dodge Charger R/T,2022,Nuevo,4.1,645
Ford Escape SE,2022,Nuevo,4.1,721
Hyundai Elantra N Base,2023,Nuevo,4.1,170
Hyundai Santa Cruz 2.5T SEL Premium,2023,Nuevo,4.1,554
Hyundai Elantra N Line,2023,Usado,4.1,272
Hyundai Elantra SEL,2019,Usado,4.1,204
INFINITI Q60 3.0t Red Sport 400,2020,Usado,4.1,295
INFINITI QX60 Luxe,2023,Nuevo,4.1,28
INFINITI G37x Base,2012,Usado,4.1,644
INFINITI QX60 Luxe,2019,Usado,4.1,388
Lexus RX 350h Premium Plus,2023,Nuevo,4.1,626
Lexus ES 350 Base,2013,Usado,4.1,556
Mercedes-Benz GLS 450 4MATIC,2023,Nuevo,4.1,656
Porsche Macan Base,2022,Porsche Certified,4.1,601
Tesla Model 3 Standard Range Plus,2020,Usado,4.1,118
Acura ILX 2.4L w/Premium Package,2014,Usado,4.09,229
Acura MDX 3.5L,2020,Acura Certified,4.09,338
Chevrolet Colorado WT,2022,Nuevo,4.09,578
Chevrolet Colorado ZR2,2022,Nuevo,4.09,134
Chevrolet Silverado 1500 LT,2022,Nuevo,4.09,36
Chevrolet Silverado 2500 LT,2023,Nuevo,4.09,475
Ford Bronco ,2023,Nuevo,4.09,599
Ford Bronco Outer Banks,2023,Nuevo,4.09,154
Hyundai Genesis 3.8,2015,Usado,4.09,90
INFINITI G37 Journey,2010,Usado,4.09,276
INFINITI QX60 LUXE AWD,2019,Usado,4.09,379
